goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillQueue/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22965 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22770 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22769 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22833 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22889 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22842 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     23058 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22881 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/100-4        	  100000	     22780 ns/op	   20880 B/op	     709 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    210272 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    210477 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    209412 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    209520 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    209759 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    208899 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    209338 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    208483 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    209599 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/1000-4       	   10000	    208536 ns/op	  134064 B/op	    7015 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2106876 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2121118 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2128235 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2107549 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2103184 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2097647 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2127965 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2115591 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2113508 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/10000-4      	    1000	   2136801 ns/op	 1286544 B/op	   70085 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23242217 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23205951 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23293503 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23233323 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23327038 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	      50	  23225043 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	      50	  23611014 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23113304 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	     100	  23254296 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/100000-4     	      50	  23136325 ns/op	12819600 B/op	  700789 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 241168956 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 237007476 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 241813921 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 240714017 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 238715603 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 238193051 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 238274874 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 236607289 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 237628488 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkMicroserviceQueue/1000000-4    	       5	 241842921 ns/op	128133648 B/op	 7007821 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3310 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3341 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3326 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3313 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3304 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3332 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3280 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3290 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3366 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/1-4            	  500000	      3288 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33510 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33863 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     32888 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33347 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33516 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33121 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33062 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33519 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33394 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/10-4           	   50000	     33299 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    327135 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    317322 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    324473 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    324474 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    331672 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    325332 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    322982 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    317141 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    328093 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/100-4          	    5000	    320173 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3215587 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3246632 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3204079 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3208616 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3250283 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3186815 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3185823 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3165920 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3208537 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/1000-4         	     500	   3136544 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31717160 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31989257 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31762925 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  32334331 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31662402 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31981449 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31870182 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31749125 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31766194 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/10000-4        	      50	  31716620 ns/op	16000001 B/op	 1000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 349662246 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 360757171 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 349405373 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 346212718 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 348182540 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 346815404 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 347584463 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 350051312 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 349770598 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullQueue/100000-4       	       3	 348533952 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3390 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3365 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3377 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3399 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3370 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3384 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3367 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3385 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3438 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/1-4                	  500000	      3373 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32598 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32914 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32681 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32325 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32056 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32150 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32120 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32191 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32061 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/10-4               	   50000	     32127 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    311914 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    311892 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    310780 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    310710 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    314246 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    314269 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    310078 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    312295 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    313104 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/100-4              	    5000	    312666 ns/op	  160001 B/op	   10000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3173435 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3136814 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3181699 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3118164 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3211547 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3143982 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3194069 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3186471 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3190030 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/1000-4             	     500	   3173219 ns/op	 1600044 B/op	  100000 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31586254 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31358649 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  32082354 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31760549 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31994903 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31566198 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31390769 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31612456 ns/op	16003332 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  32165315 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/10000-4            	      50	  31262975 ns/op	16003330 B/op	 1000001 allocs/op
BenchmarkRefillQueue/100000-4           	       3	 347890555 ns/op	160539866 B/op	10000263 allocs/op
BenchmarkRefillQueue/100000-4           	       3	 351438944 ns/op	160539866 B/op	10000263 allocs/op
BenchmarkRefillQueue/100000-4           	       3	 352072621 ns/op	160539866 B/op	10000263 allocs/op
BenchmarkRefillQueue/100000-4           	       3	 352269076 ns/op	160539866 B/op	10000263 allocs/op
BenchmarkRefillQueue/100000-4           	       3	 349839425 ns/op	160539866 B/op	10000263 allocs/op
