goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillCookiejar/0-4         	  200000	      9818 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40025 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     39970 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40086 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     39992 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     39973 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    336058 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    331398 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    331381 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    331587 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    335096 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    332375 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    332126 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    333472 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    331748 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/10000-4     	    5000	    331428 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3544532 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3526670 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3531653 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3591743 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3563591 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3535340 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3568640 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3552197 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3536933 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/100000-4    	     500	   3573660 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  46297193 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  43764105 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  44294474 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  45231430 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  48634949 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  45166033 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  44720098 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  44661588 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  44431313 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejar/1000000-4   	      30	  44500660 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9896 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9829 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9792 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9991 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9850 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9846 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9955 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9837 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9862 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/0-4 	  200000	      9932 ns/op	   65680 B/op	       3 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10118 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10132 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10187 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10114 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10194 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10215 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10103 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10101 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10158 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/1-4 	  200000	     10140 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12100 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12022 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12098 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12011 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  200000	     12064 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12095 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  200000	     12059 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12179 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  100000	     12016 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/10-4         	  200000	     12068 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29230 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29455 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29302 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29171 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29735 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29519 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29267 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29518 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29339 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/100-4        	   50000	     29217 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    211183 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    213166 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    211467 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212758 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212599 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212210 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212792 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212166 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    212027 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/1000-4       	   10000	    215700 ns/op	  243264 B/op	    7005 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1979598 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1982303 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   2074177 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   2008959 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   2007434 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1988059 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1984928 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   2000481 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1992195 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/10000-4      	    1000	   1987853 ns/op	 1382512 B/op	   70009 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  23217590 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22265932 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22516189 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22499192 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22357824 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22986618 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22806068 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22466273 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	      50	  22675074 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/100000-4     	     100	  22668886 ns/op	12912768 B/op	  700053 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 238061345 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 240742010 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 236525157 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 230640069 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 239316320 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 237655498 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 235219820 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 237537262 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 236845569 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkMicroserviceCookiejar/1000000-4    	       5	 239531831 ns/op	128901824 B/op	 7000493 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3163 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3200 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3152 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3143 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3238 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3186 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3169 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3163 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/1-4            	  500000	      3136 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31412 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     32717 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     32052 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31122 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31249 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31909 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     32384 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31808 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     30890 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/10-4           	   50000	     31907 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    313277 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    305060 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    310735 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    300993 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    309070 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    310094 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    311102 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    303372 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    306574 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/100-4          	    5000	    304916 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3108059 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3119789 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3102911 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3007785 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3186709 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3080015 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3110560 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3134639 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3117457 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/1000-4         	     500	   3085964 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31098023 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31088379 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31985861 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  30516035 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31525069 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31987958 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31856586 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  30743983 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31313056 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/10000-4        	      50	  31097908 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 356981669 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 346892474 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 343748992 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 381040673 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 341545858 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 344538516 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 349551310 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 345813716 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 340363202 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullCookiejar/100000-4       	       3	 345440652 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3315 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3405 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3438 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3382 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3373 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3414 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3357 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  300000	      3359 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3393 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/1-4                	  500000	      3459 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31381 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31741 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     32570 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31326 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31117 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31671 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31543 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     32040 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31402 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/10-4               	   50000	     31628 ns/op	   16002 B/op	    1000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    307973 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    310752 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    304963 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    302980 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    307285 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    299234 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    302832 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    309162 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    310592 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/100-4              	    5000	    308005 ns/op	  160026 B/op	   10000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3057901 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   2986853 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3071478 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3004888 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   2986957 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3087890 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3035157 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   2975927 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3060714 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/1000-4             	     500	   3004651 ns/op	 1600262 B/op	  100000 allocs/op
BenchmarkRefillCookiejar/10000-4            	      50	  32430843 ns/op	16005250 B/op	 1000000 allocs/op
BenchmarkRefillCookiejar/10000-4            	      50	  32226497 ns/op	16005250 B/op	 1000000 allocs/op
BenchmarkRefillCookiejar/10000-4            	      50	  30750811 ns/op	16005250 B/op	 1000000 allocs/op
BenchmarkRefillCookiejar/10000-4            	      50	  31742914 ns/op	16005250 B/op	 1000000 allocs/op
