goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillEapache/0-4         	10000000	       147 ns/op	     304 B/op	       2 allocs/op
BenchmarkFillEapache/100000-4    	     200	   6784991 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  72987075 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  78020546 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  71712372 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  72882752 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  73475444 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  75132025 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  72078560 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  73373559 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  71421036 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkFillEapache/1000000-4   	      20	  73785579 ns/op	66331184 B/op	 1000034 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       350 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       354 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       350 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 3000000	       362 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       349 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       356 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       346 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2377 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	  500000	      2374 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2381 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2370 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2382 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	  500000	      2373 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2379 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2387 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	 1000000	      2374 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/10-4         	  500000	      2384 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25427 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25548 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25710 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25323 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25299 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25297 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25270 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25320 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25360 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/100-4        	   50000	     25275 ns/op	   22256 B/op	     714 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    239680 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    240799 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    238143 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    238616 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    239870 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	    5000	    238405 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    237754 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    242587 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	   10000	    240002 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/1000-4       	    5000	    238467 ns/op	  209072 B/op	    7026 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2559471 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2531755 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2535354 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2536887 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2564971 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2526009 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2531803 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2527252 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2553877 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/10000-4      	     500	   2521809 ns/op	 2691632 B/op	   70042 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30365623 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30457668 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30851267 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30211000 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30573591 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30745008 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  31104663 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30936259 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30340144 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/100000-4     	      50	  30918319 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 329794414 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 315434588 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 323876471 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 319525437 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 321429897 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       3	 341226871 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 318680193 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 329156907 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 321872031 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceEapache/1000000-4    	       5	 321334891 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3643 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  300000	      3605 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3690 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3647 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3599 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  300000	      3851 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3714 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3642 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3617 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/1-4            	  500000	      3599 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     37300 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36679 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36997 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36689 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     37148 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36722 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     37171 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36547 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36755 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/10-4           	   50000	     36004 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    351734 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    364626 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    365407 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    359027 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    354172 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    3000	    362090 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    346300 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    352924 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    351939 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/100-4          	    5000	    360834 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3640033 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3669674 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3446905 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3526877 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3481936 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3640483 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3658475 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3590923 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3699117 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/1000-4         	     500	   3575383 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  38111846 ns/op	16000001 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  36008006 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      30	  35515378 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  36736285 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  36012599 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  36810614 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  36927780 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  35662139 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  37712697 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/10000-4        	      50	  37133490 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 667187707 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 666096666 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 677917151 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 664254461 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 667432392 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 679499712 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 667531358 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 664830105 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 676942193 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillFullEapache/100000-4       	       2	 673612817 ns/op	631859200 B/op	10000400 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3626 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3634 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3640 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3644 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3711 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3615 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3686 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3668 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3659 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/1-4                	  500000	      3643 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35541 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35210 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35500 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35107 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35464 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35154 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     34950 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35692 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     34936 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/10-4               	   50000	     35135 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    499730 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    493821 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    499420 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    499689 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    501577 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    496243 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    502906 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    495433 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    498848 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/100-4              	    3000	    520945 ns/op	  697600 B/op	   10600 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4386775 ns/op	 6438402 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4350022 ns/op	 6438401 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4354625 ns/op	 6438401 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4440230 ns/op	 6438401 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4359157 ns/op	 6438402 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4363416 ns/op	 6438402 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4408366 ns/op	 6438401 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4350668 ns/op	 6438401 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4380876 ns/op	 6438402 B/op	  101200 allocs/op
BenchmarkRefillEapache/1000-4             	     300	   4379592 ns/op	 6438402 B/op	  101200 allocs/op
BenchmarkRefillEapache/10000-4            	      20	  50106577 ns/op	94566415 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49957748 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49973854 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49848128 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  50309443 ns/op	94566413 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49762541 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  50004938 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49935968 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  50453531 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/10000-4            	      30	  49988739 ns/op	94566410 B/op	 1002000 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 695378143 ns/op	789068952 B/op	10002601 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 694458982 ns/op	789068952 B/op	10002601 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 677866656 ns/op	789068952 B/op	10002601 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 682224759 ns/op	789068952 B/op	10002601 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 685138689 ns/op	789068952 B/op	10002601 allocs/op
BenchmarkRefillEapache/100000-4           	       2	 699712268 ns/op	789068952 B/op	10002601 allocs/op
