goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillImpl7/0-4         	50000000	        37.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4071 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4072 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4114 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4076 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4049 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35706 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     36017 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35865 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     36311 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35718 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35647 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35925 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35716 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35990 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/1000-4      	   50000	     35901 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    354648 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    354668 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    358471 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    354920 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    355219 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    354142 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    357889 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    354923 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    355507 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/10000-4     	    5000	    357783 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3725583 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3729922 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3733571 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3767239 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3758603 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3783891 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3764972 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3771829 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3753366 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/100000-4    	     500	   3733049 ns/op	 3227136 B/op	  101571 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  42662631 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  45755983 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  44172869 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  44305100 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  43665081 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  44006422 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  47140595 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  43922035 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  44221122 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkFillImpl7/1000000-4   	      30	  44224973 ns/op	32251616 B/op	 1015633 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/0-4 	50000000	        35.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       611 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       622 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       611 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       619 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       613 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/1-4 	 2000000	       613 ns/op	     432 B/op	      17 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4573 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4637 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4581 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4591 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4588 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4606 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4594 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4665 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4587 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/10-4         	  300000	      4613 ns/op	    6912 B/op	     109 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30526 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     31054 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30983 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30534 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30530 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     31220 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30541 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30662 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30725 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/100-4        	   50000	     30524 ns/op	   29632 B/op	     927 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290386 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290715 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    292579 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290775 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    289704 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290182 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    292454 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290556 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    290200 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/1000-4       	    5000	    289616 ns/op	  260992 B/op	    9111 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2931144 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2920607 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2930277 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2944820 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2912617 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2906020 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2925517 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2945638 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2909758 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/10000-4      	     500	   2923658 ns/op	 2578752 B/op	   90955 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  32056501 ns/op	25752197 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31484520 ns/op	25752192 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31533954 ns/op	25752197 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31893730 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31699025 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31668705 ns/op	25752192 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31626524 ns/op	25752197 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31771911 ns/op	25752193 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31668557 ns/op	25752195 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/100000-4     	      50	  31521974 ns/op	25752195 B/op	  909391 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       3	 339363993 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       3	 336255254 ns/op	257503264 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 329881436 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 335128046 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 333781419 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       3	 335350776 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 334307811 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 331490389 ns/op	257503251 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       3	 333619726 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkMicroserviceImpl7/1000000-4    	       5	 329657927 ns/op	257503232 B/op	 9093767 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3760 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3782 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3749 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3797 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3786 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3753 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3761 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3768 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3748 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/1-4            	  500000	      3765 ns/op	    3225 B/op	     101 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37748 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37599 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37690 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37597 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37462 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37883 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     38124 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     37906 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     38022 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/10-4           	   50000	     38125 ns/op	   32250 B/op	    1015 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    369047 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    365840 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    365609 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    364398 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    363881 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    367232 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    369730 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    365925 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    368470 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/100-4          	    5000	    363913 ns/op	  322500 B/op	   10156 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3622424 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3707271 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3658195 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3620224 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3697930 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3662507 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3621408 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3660102 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3640641 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/1000-4         	     500	   3725536 ns/op	 3225000 B/op	  101562 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36594757 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36908058 ns/op	32250001 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36847706 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  37042861 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36919852 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36678975 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  37021759 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  37345037 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36871792 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/10000-4        	      50	  36713070 ns/op	32250000 B/op	 1015625 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 374959650 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 372021677 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 372830739 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 373928030 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 373313967 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 375619326 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 377671382 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 376375133 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 372765518 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillFullImpl7/100000-4       	       3	 381707368 ns/op	322500000 B/op	10156250 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9277 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9304 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9385 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9299 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9287 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9401 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9345 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9278 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9379 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/1-4                	  200000	      9297 ns/op	    6400 B/op	     300 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69190 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69167 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69336 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69698 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69391 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69262 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69536 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69228 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     69875 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/10-4               	   20000	     68866 ns/op	   68800 B/op	    1600 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    409471 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    409058 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    412427 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    408551 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    408781 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    408554 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    413341 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    409109 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    408503 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/100-4              	    3000	    409111 ns/op	  420800 B/op	   10800 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3614072 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3613826 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3630701 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3611132 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3649353 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3623657 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3611352 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3655324 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3611601 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/1000-4             	     500	   3634681 ns/op	 3316800 B/op	  102200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36341144 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36063871 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36029284 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36205446 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36046266 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36019382 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  37935849 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36257309 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36027116 ns/op	32276800 B/op	 1016200 allocs/op
BenchmarkRefillImpl7/10000-4            	      50	  36444692 ns/op	32276800 B/op	 1016200 allocs/op
