goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillSlice/0-4         	30000000	        40.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31728 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31240 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31124 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31763 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31154 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31130 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31749 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31141 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    380194 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    390203 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    381549 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    379503 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    382806 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    380770 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    381318 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    383409 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    3000	    380265 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/10000-4     	    5000	    379657 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8832478 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8435060 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8449364 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8460209 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8388836 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8661049 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8454233 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8511950 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8446609 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/100000-4    	     200	   8461857 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSlice/1000000-4   	      10	 104620878 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      20	 101401617 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      20	 100005200 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      10	 109672213 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      10	 103895120 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      10	 100272985 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      20	 102359894 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      20	 100985393 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      20	  98338870 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSlice/1000000-4   	      10	 107187652 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        40.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        39.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       431 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       437 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       447 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       430 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       434 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/1-4 	 3000000	       431 ns/op	     232 B/op	      14 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3264 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3250 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3283 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3228 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3254 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3239 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3335 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3240 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3225 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/10-4         	  500000	      3275 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     23955 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     23982 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	   50000	     24444 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	   50000	     24186 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     23920 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     24176 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     23981 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	   50000	     24459 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	   50000	     23966 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     23991 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    255690 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    254514 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    247323 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    247395 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    248066 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    247620 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    257108 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    248271 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    247745 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/1000-4       	    5000	    249486 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2771109 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2856553 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2819200 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2998626 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2792998 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2784962 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2815042 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2792845 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2826250 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/10000-4      	     500	   2814009 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  43452520 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  43415170 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  43928461 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  42422463 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  48486945 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      20	  57214847 ns/op	33139164 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  44124609 ns/op	33139163 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  43085119 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  45139073 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      30	  43889506 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 527606860 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 540415883 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 576946991 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 581948386 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 557989288 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 564797007 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 519298439 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 541222408 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 531156151 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       2	 537705742 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3805 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3827 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      4079 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3813 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3860 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3811 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3807 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3797 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      4018 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3808 ns/op	    4815 B/op	     100 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     37753 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     38012 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     37710 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     37580 ns/op	   48172 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     38049 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     38071 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     37776 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     38024 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     37929 ns/op	   48172 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     38029 ns/op	   48174 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    374122 ns/op	  482704 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    369219 ns/op	  482725 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    370767 ns/op	  482725 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    3000	    369241 ns/op	  482718 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    372341 ns/op	  482704 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    369516 ns/op	  482725 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    372167 ns/op	  482704 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    370849 ns/op	  482725 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    371324 ns/op	  482704 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    372925 ns/op	  482725 B/op	   10003 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3916447 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3936345 ns/op	 5149724 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3898241 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3918786 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3897992 ns/op	 5149724 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3898103 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3955988 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3905275 ns/op	 5149724 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3895878 ns/op	 5149937 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/1000-4         	     300	   3887433 ns/op	 5149866 B/op	  100033 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39693857 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39651006 ns/op	52044803 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39679766 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  40424383 ns/op	52044803 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  39927960 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39716111 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  40061721 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  40033038 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39582528 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/10000-4        	      30	  39861984 ns/op	52044800 B/op	 1000250 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 852702092 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 827715072 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 823288113 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 816299755 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 823742612 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 834312325 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 815967800 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 851570271 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 821496990 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillFullSlice/100000-4       	       2	 832768340 ns/op	551086080 B/op	10000740 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5618 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5558 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5531 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5606 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5545 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5565 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5545 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5536 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5544 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/1-4                	  300000	      5524 ns/op	    2400 B/op	     200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43913 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43192 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43271 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43322 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43468 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43471 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43936 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43429 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43384 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/10-4               	   30000	     43141 ns/op	   32000 B/op	    1200 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    322573 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    322448 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    315152 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    317976 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    318998 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    319471 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    319306 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    321933 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    320807 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    321077 ns/op	  313600 B/op	   10100 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3048168 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3074227 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3043450 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3028453 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3062132 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3059627 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3028203 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3037977 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3033177 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   3001238 ns/op	 3148819 B/op	  100200 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37177617 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  36958333 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37008060 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37251251 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      30	  37016313 ns/op	48769954 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  36044122 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  36840446 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37336953 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37015130 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  37261887 ns/op	48769172 B/op	 1000600 allocs/op
BenchmarkRefillSlice/100000-4           	       2	 783359988 ns/op	547883660 B/op	10000943 allocs/op
BenchmarkRefillSlice/100000-4           	       2	 811016687 ns/op	547883660 B/op	10000943 allocs/op
BenchmarkRefillSlice/100000-4           	       2	 786077160 ns/op	547883660 B/op	10000943 allocs/op
BenchmarkRefillSlice/100000-4           	       2	 797921649 ns/op	547883660 B/op	10000943 allocs/op
BenchmarkRefillSlice/100000-4           	       2	 806472592 ns/op	547883660 B/op	10000943 allocs/op
